x,y,z
403.1820,661.456,-4.778
403.9380,661.473,-4.773
404.7630,661.500,-4.783
405.5980,661.531,-4.764
406.4140,661.577,-4.779
407.2100,661.601,-4.773
407.9630,661.608,-4.780
408.7050,661.622,-4.782
409.4780,661.629,-4.798
410.2450,661.665,-4.794
411.0140,661.722,-4.795
411.7720,661.747,-4.805
412.5120,661.744,-4.801
413.2760,661.763,-4.818
414.0730,661.791,-4.803
414.8710,661.802,-4.823
415.6890,661.814,-4.822
416.4880,661.840,-4.835
417.2340,661.865,-4.850
417.9610,661.867,-4.844
418.7250,661.866,-4.830
419.5080,661.882,-4.840
420.2780,661.898,-4.855
421.0710,661.907,-4.855
421.8660,661.923,-4.850
422.6300,661.939,-4.883
423.3890,661.924,-4.865
424.1520,661.937,-4.885
424.9320,661.952,-4.895
425.7440,661.962,-4.889
426.5320,661.963,-4.875
427.2900,661.963,-4.889
428.0560,661.953,-4.893
428.8410,661.948,-4.894
429.6090,661.966,-4.927
430.3890,661.967,-4.927
431.1570,661.948,-4.925
431.9260,661.954,-4.912
432.6980,661.961,-4.911
433.4510,661.958,-4.928
434.2010,661.955,-4.955
434.9770,661.956,-4.957
435.7570,661.937,-4.952
436.5380,661.924,-4.942
437.3370,661.922,-4.952
438.1440,661.919,-4.953
438.9160,661.901,-4.950
439.6810,661.891,-4.952
440.4250,661.874,-4.982
441.1850,661.855,-4.981
441.9580,661.841,-4.993
442.7610,661.838,-5.008
443.5560,661.834,-4.998
444.3240,661.796,-5.026
445.1100,661.757,-5.007
445.8870,661.742,-5.014
446.6570,661.697,-5.022
447.4340,661.700,-5.028
448.2160,661.680,-5.021
448.9850,661.659,-5.054
449.7330,661.639,-5.052
450.5010,661.587,-5.053
451.3010,661.575,-5.056
452.1130,661.552,-5.079
452.8990,661.520,-5.069
453.6660,661.478,-5.085
454.4080,661.453,-5.077
455.1580,661.408,-5.093
455.9380,661.398,-5.100
456.7320,661.385,-5.100
457.5030,661.374,-5.117
458.2740,661.347,-5.115
459.0090,661.316,-5.119
459.7600,661.264,-5.136
460.5120,661.254,-5.137
461.2620,661.233,-5.144
461.9740,661.222,-5.154
462.6940,661.191,-5.173
463.4580,661.161,-5.169
464.2260,661.137,-5.187
464.9930,661.124,-5.166
465.7800,661.084,-5.187
466.5420,661.076,-5.199
467.2780,661.055,-5.197
467.9990,661.030,-5.209
468.7290,660.996,-5.236
469.4760,660.988,-5.225
470.2370,660.971,-5.211
470.9790,660.947,-5.276
471.7230,660.924,-5.274
472.4710,660.904,-5.247
473.2300,660.875,-5.303
474.0180,660.854,-5.248
474.7890,660.869,-5.265
475.5110,660.848,-5.318
476.2200,660.813,-5.323
476.9320,660.805,-5.328
477.6790,660.787,-5.334
478.4200,660.800,-5.364
479.1720,660.809,-5.366
479.9360,660.791,-5.371
480.7180,660.751,-5.334
481.5240,660.740,-5.349
